WBInteraction000519007,F53H8.2,AC3.3,-
WBInteraction000503082,T07A9.5,C17H12.5,-
WBInteraction000503665,R144.7,F43C1.2,-
WBInteraction000503455,C26E6.5,C01B7.6,+
WBInteraction000504365,F42G8.12,Y22D7AL.5,-
WBInteraction000502351,C32C4.6,B0024.6,+
WBInteraction000518818,F38H4.9,B0464.7,+
WBInteraction000503358,Y105E8A.6,T28C6.4,-
WBInteraction000520124,T09B4.12,Y15E3A.1,-
WBInteraction000524403,C12C8.3,ZK381.4,+
WBInteraction000520345,Y57A10A.19,C01F6.4,-
WBInteraction000503699,F11C7.5,B0213.4,-
WBInteraction000504296,C29E6.7,F32B6.2,-
WBInteraction000008970,C04G2.7,F36H1.4
WBInteraction000009095,C41G7.5,T04D3.4
WBInteraction000504690,R11A5.7,ZK1193.1,+
WBInteraction000504247,F10D11.1,C54F6.14,+
WBInteraction000503756,F55A4.9,C06G8.1,+
WBInteraction000501848,K02E10.8,T10H9.4,+
WBInteraction000502139,Y75B8A.12,C27H5.7,+
WBInteraction000517639,ZK154.3,ZK1193.1
WBInteraction000521455,Y55D5A.5,T20B12.6,-
WBInteraction000518838,C47G2.2,Y105C5B.88,+
WBInteraction000503093,F10B5.7,C29E6.3,-
WBInteraction000052667,R74.5,F58A3.2
WBInteraction000502697,F43C1.2,T05G11.1,+
WBInteraction000504323,ZK970.2,ZC376.7,+
WBInteraction000503492,C38D4.6,B0304.1,+
WBInteraction000503151,F10B5.7,F29B9.7,-
WBInteraction000504354,F26B1.7,C10G8.6,+
WBInteraction000502952,Y55D5A.5,C29A12.4,-
WBInteraction000503366,Y105E8A.6,T05C12.10,-
WBInteraction000517454,F28D1.1,K08F4.7,-
WBInteraction000503319,T07A9.5,Y106G6G.3,-
WBInteraction000519496,W10G6.2,C32H11.12,-
WBInteraction000502736,F58H12.1,C42D4.5,+
WBInteraction000518355,T27F7.3,ZK1058.6,+
WBInteraction000520445,F38A6.3,Y69A2AR.4,+
WBInteraction000502595,K11D2.3,Y73F8A.1,+
WBInteraction000518425,C46A5.9,T19E7.2,-
WBInteraction000517477,M05B5.5,F58A3.2,+
WBInteraction000501539,T09E8.2,Y43C5A.6,+
WBInteraction000501526,T25F10.5,C27A7.4
WBInteraction000521810,Y48B6A.2,T12G3.1,-
WBInteraction000505048,C30G12.7,D1022.1,-
WBInteraction000519443,K12H4.1,F10C1.2,+
WBInteraction000003302,C08C3.1,T12F5.4
WBInteraction000524285,T19E7.2,C09B8.4,+
WBInteraction000523861,F25D7.3,B0273.4,-
WBInteraction000502437,ZC518.3,F47G4.3,-
WBInteraction000503011,Y108G3AL.1,F32D1.1,-
WBInteraction000005690,C41C4.4,K08H10.4
WBInteraction000501607,ZK381.1,W02A2.6
WBInteraction000003237,C18A11.5,C35C5.1
WBInteraction000504300,C29E6.7,ZK742.5,-
WBInteraction000004072,C08C3.1,C50E10.4
WBInteraction000505069,W02D3.9,F58A3.2,-
WBInteraction000503614,T23G7.1,C52E4.1,-
WBInteraction000504869,T25B6.7,R09B5.2,+
WBInteraction000520049,R05D3.7,VW02B12L.3,-
WBInteraction000504362,W01A8.4,C37H5.8,-
WBInteraction000502620,F15D3.1,K08B4.6,+
WBInteraction000523939,ZK858.1,F02A9.6,+
WBInteraction000504449,B0035.5,F37B12.2,-
WBInteraction000003645,K12H4.8,F26E4.9
WBInteraction000502569,F54E7.3,T19E10.1,+
WBInteraction000503276,F10B5.7,Y6E2A.9,-
WBInteraction000502393,F35H10.4,F52E4.6,+
WBInteraction000502913,T14G12.4,F08F8.3,+
WBInteraction000502719,F57F5.5,Y47D3B.2,-
WBInteraction000524426,Y47G6A.2,ZK792.2,+
WBInteraction000003196,ZK1067.1,F17E5.1
WBInteraction000501428,T09A5.10,F22B7.13,+
WBInteraction000519371,K02B9.4,C04A2.3,+
WBInteraction000524352,C49A1.4,Y46H3A.3,+
WBInteraction000503138,F10B5.7,F17B5.1,+
WBInteraction000501713,Y113G7A.6,C50C10.7,-
WBInteraction000504935,ZC395.2,ZK652.5,-
WBInteraction000503143,T07A9.5,F22E5.1,+
WBInteraction000502561,F48F7.1,C37A2.4,-
WBInteraction000504670,ZK520.4,F33G12.4,+
WBInteraction000503081,T07A9.5,C17D12.5,-
WBInteraction000504685,F56H9.4,ZK1251.2,-
WBInteraction000503973,F09E5.1,B0213.4,+
