experiment,lineaging_strain,marker_gene,ko_gene,imaging_time_point,edited_cell_number,edited_time_point
120927NHR25fkb3ip1,RW10348,NHR-25,fkb-3,240,354,140
120928NHR25cpsf2ip1,RW10348,NHR-25,cpsf-2,200,316,200
121022NHR25pal1ip2,RW10348,NHR-25,pal-1,240,362,145
121022NHR25pal1ip4,RW10348,NHR-25,pal-1,240,367,140
121024NHR25pop1ip1,RW10348,NHR-25,pop-1,240,332,140
121024NHR25pop1ip2,RW10348,NHR-25,pop-1,240,314,180
121025NHR25tbx37+38ip1,RW10348,NHR-25,tbx-37+38,240,362,160
121025NHR25tbx37+38ip2,RW10348,NHR-25,tbx-37+38,240,361,140
121025NHR25tbx8+9ip1,RW10348,NHR-25,tbx-8+9,200,347,140
121025NHR25tbx8+9ip2,RW10348,NHR-25,tbx-8+9,200,367,150
121026NHR25lin32ip2,RW10348,NHR-25,lin-32,240,170,180
121026NHR25nhr25ip1,RW10348,NHR-25,nhr-25,200,349,130
121026NHR25nhr25ip2,RW10348,NHR-25,nhr-25,200,363,140
121029NHR25elt1ip1,RW10348,NHR-25,elt-1,240,355,140
121113NHR25C06G3-10ip2,RW10348,NHR-25,cogc-2,240,378,150
121113NHR25C06G3-10ip3,RW10348,NHR-25,cogc-2,240,361,125
121114NHR25lim7ip1,RW10348,NHR-25,lim-7,240,361,120
121114NHR25lim7ip3,RW10348,NHR-25,lim-7,240,382,150
121117NHR25ceh24ip2,RW10348,NHR-25,ceh-24,240,357,130
121117NHR25ceh24ip3,RW10348,NHR-25,ceh-24,240,361,135
121117NHR25mab9ip2,RW10348,NHR-25,mab-9,240,383,140
121117NHR25mab9ip3,RW10348,NHR-25,mab-9,240,355,125
121120NHR25isw1ip1,RW10348,NHR-25,isw-1,240,362,130
121120NHR25isw1ip3,RW10348,NHR-25,isw-1,240,375,140
121121NHR25pax3ip1,RW10348,NHR-25,pax-3,200,366,130
121121NHR25pax3ip2,RW10348,NHR-25,pax-3,200,374,140
121121NHR25sdz38ip3,RW10348,NHR-25,sdz-38,240,362,140
121121NHR25sdz38ip4,RW10348,NHR-25,sdz-38,240,372,140
121122NHR25hnd1ip2,RW10348,NHR-25,hnd-1,200,374,135
121122NHR25hnd1ip3,RW10348,NHR-25,hnd-1,200,381,135
121128NHR25skn1ip1,RW10348,NHR-25,skn-1,200,357,130
121128NHR25skn1ip3,RW10348,NHR-25,skn-1,200,353,150
121129NHR25nob1ip2,RW10348,NHR-25,nob-1,200,362,140
121129NHR25nob1ip3,RW10348,NHR-25,nob-1,200,384,150
121130NHR25nhr67ip2,RW10348,NHR-25,nhr-67,240,371,140
121130NHR25nhr67ip3,RW10348,NHR-25,nhr-67,240,360,130
121201NHR25pes1ip2,RW10348,NHR-25,pes-1,240,370,140
121201NHR25pes1ip4,RW10348,NHR-25,pes-1,240,365,130
121202NHR25ceh32ip1,RW10348,NHR-25,ceh-32,240,87,100
121202NHR25ceh32ip2,RW10348,NHR-25,ceh-32,240,105,120
121202NHR25ceh32ip3,RW10348,NHR-25,ceh-32,240,194,120
121202NHR25nhr49ip1,RW10348,NHR-25,nhr-49,240,360,125
121202NHR25nhr49ip3,RW10348,NHR-25,nhr-49,240,369,150
121203NHR25abce1ip2,RW10348,NHR-25,abce-1,200,249,150
121203NHR25abce1ip4,RW10348,NHR-25,abce-1,200,270,150
121203NHR25hlh1ip1,RW10348,NHR-25,hlh-1,200,257,110
121203NHR25hlh1ip4,RW10348,NHR-25,hlh-1,200,190,120
121204NHR25nhr23ip2,RW10348,NHR-25,nhr-23,200,359,140
121204NHR25nhr23ip4,RW10348,NHR-25,nhr-23,200,354,140
121211NHR25elt1ip1,RW10348,NHR-25,elt-1,240,358,150
121211NHR25elt1ip3,RW10348,NHR-25,elt-1,240,350,130
121223NHR25blmp1ip2,RW10348,NHR-25,blmp-1,200,358,160
121223NHR25blmp1ip3,RW10348,NHR-25,blmp-1,200,311,150
121228NHR25elt3ip1,RW10348,NHR-25,elt-3,200,349,140
121228NHR25elt3ip2,RW10348,NHR-25,elt-3,200,370,150
121228NHR25lin26ip1,RW10348,NHR-25,lin-26,240,353,140
121228NHR25lin26ip3,RW10348,NHR-25,lin-26,240,350,150
130124NHR25lin1ip1,RW10348,NHR-25,lin-1,200,368,140
130124NHR25lin1ip3,RW10348,NHR-25,lin-1,200,362,140
130131NHR25nhr171ip1,RW10348,NHR-25,nhr-171,200,361,140
130131NHR25nhr171ip3,RW10348,NHR-25,nhr-171,200,359,160
130131NHR25nhr68ip2,RW10348,NHR-25,nhr-68,240,365,140
130131NHR25nhr68ip3,RW10348,NHR-25,nhr-68,240,350,160
130413NHR25F11A10-1ip1,RW10348,NHR-25,lex-1,240,361,155
130413NHR25F11A10-1ip2,RW10348,NHR-25,lex-1,240,363,140
130416NHR25F13H8-9ip1,RW10348,NHR-25,F13H8.9,200,360,140
130416NHR25F13H8-9ip2,RW10348,NHR-25,F13H8.9,200,361,140
130420NHR25tbx37+38ip1,RW10348,NHR-25,tbx-37+38,240,354,130
130420NHR25tbx37+38ip2,RW10348,NHR-25,tbx-37+38,240,353,150
130509NHR25nol5ip1,RW10348,NHR-25,nol-5,240,352,150
130509NHR25nol5ip3,RW10348,NHR-25,nol-5,240,352,160
130530NHR25B0205-6ip1,RW10348,NHR-25,B0205.6,200,358,185
130530NHR25B0205-6ip2,RW10348,NHR-25,B0205.6,200,352,180
140108NHR25cbp1ip1,RW10348,NHR-25,cbp-1,200,351,185
140108NHR25cbp1ip2,RW10348,NHR-25,cbp-1,200,341,165
140116NHR25nob1ip1,RW10348,NHR-25,nob-1,200,360,145
140116NHR25nob1ip2,RW10348,NHR-25,nob-1,200,361,145
140117NHR25egl18ip2,RW10348,NHR-25,egl-18,200,355,165
140117NHR25egl18ip3,RW10348,NHR-25,egl-18,200,364,155
140121NHR25cwn2ip1,RW10348,NHR-25,cwn-2,240,365,140
140121NHR25cwn2ip3,RW10348,NHR-25,cwn-2,240,360,145
140122NHR25C01A2-5ip1,RW10348,NHR-25,tads-1,240,368,160
140122NHR25C01A2-5ip2,RW10348,NHR-25,tads-1,240,369,175
140122NHR25dsh2ip1,RW10348,NHR-25,dsh-2,200,365,155
140122NHR25dsh2ip3,RW10348,NHR-25,dsh-2,200,362,155
140123NHR25tbx33ip1,RW10348,NHR-25,tbx-33,240,361,145
140123NHR25tbx33ip2,RW10348,NHR-25,tbx-33,240,368,160
140124NHR25ceh32ip1,RW10348,NHR-25,ceh-32,240,364,145
140124NHR25ceh32ip3,RW10348,NHR-25,ceh-32,240,362,150
140124NHR25ceh43ip2,RW10348,NHR-25,ceh-43,200,362,155
140124NHR25ceh43ip3,RW10348,NHR-25,ceh-43,200,359,165
140124NHR25rps9ip2,RW10348,NHR-25,rps-9,200,81,200
140124NHR25rps9ip3,RW10348,NHR-25,rps-9,200,186,195
140127NHR25ceh13ip1,RW10348,NHR-25,ceh-13,200,362,140
140127NHR25ceh13ip2,RW10348,NHR-25,ceh-13,200,362,140
140127NHR25sox2ip2,RW10348,NHR-25,sox-2,240,361,155
140127NHR25sox2ip3,RW10348,NHR-25,sox-2,240,359,155
140128NHR25hlh2ip2,RW10348,NHR-25,hlh-2,200,367,160
140128NHR25hlh2ip3,RW10348,NHR-25,hlh-2,200,368,160
140128NHR25lit1ip2,RW10348,NHR-25,lit-1,240,399,140
140128NHR25lit1ip3,RW10348,NHR-25,lit-1,240,416,150
140225NHR25lag1ip1,RW10348,NHR-25,lag-1,240,359,155
140225NHR25lag1ip2,RW10348,NHR-25,lag-1,240,362,160
140226NHR25C16A3-6Aip1,RW10348,NHR-25,C16A3.6,200,362,140
140226NHR25C16A3-6Aip2,RW10348,NHR-25,C16A3.6,200,363,145
140226NHR25C34E10-1ip1,RW10348,NHR-25,gop-3,200,361,150
140226NHR25C34E10-1ip2,RW10348,NHR-25,gop-3,200,361,150
140226NHR25C34E10-1ip3,RW10348,NHR-25,gop-3,200,368,155
140307NHR25gad1ip1,RW10348,NHR-25,gad-1,240,321,170
140307NHR25gad1ip2,RW10348,NHR-25,gad-1,240,343,200
140307NHR25gad1ip3,RW10348,NHR-25,gad-1,240,252,175
140410NHR25let526ip1,RW10348,NHR-25,let-526,240,358,170
140410NHR25let526ip2,RW10348,NHR-25,let-526,240,364,170
140704NHR25snfc5ip1,RW10348,NHR-25,snfc-5,240,350,180
140704NHR25swsn3ip1,RW10348,NHR-25,swsn-3,200,366,145
140704NHR25swsn3ip3,RW10348,NHR-25,swsn-3,200,366,165
120911NHR25p4,RW10348,NHR-25,N/A,240,358,120
120924NHR25p2,RW10348,NHR-25,N/A,240,360,140
120924NHR25p3,RW10348,NHR-25,N/A,240,362,130
130108NHR25p1,RW10348,NHR-25,N/A,200,360,139
130108NHR25p2,RW10348,NHR-25,N/A,200,359,140
130108NHR25p3,RW10348,NHR-25,N/A,200,362,140
140102NHR25p2,RW10348,NHR-25,N/A,240,362,150
140102NHR25p3,RW10348,NHR-25,N/A,240,360,155
140109NHR25p1,RW10348,NHR-25,N/A,240,364,135
140109NHR25p2,RW10348,NHR-25,N/A,240,361,135
140109NHR25p3,RW10348,NHR-25,N/A,240,362,145
140217NHR25p1,RW10348,NHR-25,N/A,240,361,145
140217NHR25p2,RW10348,NHR-25,N/A,240,363,145
140217NHR25p3,RW10348,NHR-25,N/A,240,364,145
140218NHR25p2,RW10348,NHR-25,N/A,240,363,145
140218NHR25p3,RW10348,NHR-25,N/A,240,363,150
